Municipios;Distritos;Secciones;Indicadores_gini_p8020;Periodo;Total
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2019;2,6
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2018;2,7
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2017;2,6
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2016;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905065 Madrid seccion 05065;Distribucion de la renta P80/P20;2015;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2023;44,2
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2022;44,2
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2021;42,5
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2020;44,4
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2019;45,2
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2018;44,8
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2017;45,2
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2016;45,9
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Indice de Gini;2015;.
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2023;3,3
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2022;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2021;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2020;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2019;3,4
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2018;3,3
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2017;3,6
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2016;3,7
28079 Madrid;2807905 Madrid distrito 05;2807905066 Madrid seccion 05066;Distribucion de la renta P80/P20;2015;3,6
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2023;40,5
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2022;42,2
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2021;39,6
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2020;38,8
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2019;40,4
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2018;43,1
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2017;42,6
